maker,specific_origin,cocoa_percent,maker_location,rating,bean_type,broad_origin
Amazona,"Bellavista Gran Pajeten,San Martin",73.0,Peru,3.5,Trinitario,Peru
Ambrosia,Belize,64.0,Canada,3.0,Trinitario,Belize
Ambrosia,Madagascar,66.0,Canada,3.25,Trinitario,Madagascar
Ambrosia,Dominican Republic,75.0,Canada,3.25,Blend,Dominican Republic
Ambrosia,Papua New Guinea,63.0,Canada,3.25,Blend,Papua New Guinea
Ambrosia,Venezuela,70.0,Canada,3.25,Blend,Venezuela
Ambrosia,Peru,68.0,Canada,3.5,Blend,Peru
Amedei,"Piura,Blanco de Criollo",70.0,Italy,3.75,Blend,Peru
Amedei,Porcelana,70.0,Italy,4.0,Criollo (Porcelana),Venezuela
Amedei,Nine,75.0,Italy,4.0,Blend, 
Amedei,Chuao,70.0,Italy,5.0,Trinitario,Venezuela
Amedei,Ecuador,70.0,Italy,3.0,Trinitario,Ecuador
Amedei,Jamaica,70.0,Italy,3.0,Trinitario,Jamaica
Amedei,Grenada,70.0,Italy,3.5,Trinitario,Grenada
Amedei,Venezuela,70.0,Italy,3.75,Trinitario (85% Criollo),Venezuela
Amedei,Madagascar,70.0,Italy,4.0,Trinitario (85% Criollo),Madagascar
Amedei,Trinidad,70.0,Italy,3.5,Trinitario,Trinidad
Amedei,Toscano Black,63.0,Italy,3.5,Blend, 
Amedei,Toscano Black,70.0,Italy,5.0,Blend, 
Amedei,Toscano Black,66.0,Italy,4.0,Blend, 
AMMA,Catongo,75.0,Brazil,3.25,Forastero (Catongo),Brazil
AMMA,"Monte Alegre,3 diff plantations",85.0,Brazil,2.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre,3 diff plantations",50.0,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre,3 diff plantations",75.0,Brazil,3.75,Forastero (Parazinho),Brazil
AMMA,"Monte Alegre,3 diff plantations",60.0,Brazil,4.0,Forastero (Parazinho),Brazil
Anahata,Elvesia,75.0,U.S.A.,3.0,Blend,Dominican Republic
Animas,Alto Beni,75.0,U.S.A.,3.5,Blend,Bolivia
Ara,Madagascar,75.0,France,3.0,Trinitario,Madagascar
Ara,Chiapas,72.0,France,2.5,Blend,Mexico
Ara,Equateur,75.0,France,2.75,Blend,Ecuador
Ara,Trincheras,75.0,France,3.0,Blend,Venezuela
Arete,San Juan,70.0,U.S.A.,3.5,Trinitario,Trinidad
Arete,Kokoa Kamili,70.0,U.S.A.,3.75,Blend,Tanzania
Arete,Tien Giang,73.0,U.S.A.,3.5,Trinitario,Vietnam
Arete,Hacienda Victoria,70.0,U.S.A.,3.25,Blend,Ecuador
Arete,Costa Esmeraldas,70.0,U.S.A.,3.25,Blend,Ecuador
Arete,Lachua,70.0,U.S.A.,3.5,Blend,Guatemala
Arete,Rugoso,70.0,U.S.A.,3.75,Blend,Nicaragua
Arete,"La Masica,FHIA",70.0,U.S.A.,3.5,Blend,Honduras
Arete,"Coto Brus,Terciopelo",70.0,U.S.A.,4.0,Blend,Costa Rica
Arete,Phantom,70.0,U.S.A.,4.0,Forastero (Nacional),Peru
Arete,Elvesia,70.0,U.S.A.,3.75,Blend,Dominican Republic
Arete,Matasawalevu,70.0,U.S.A.,3.25,Blend,Fiji
Arete,Lam Dong,73.0,U.S.A.,3.25,Blend,Vietnam
Arete,Fazenda Camboa,70.0,U.S.A.,3.5,Blend,Brazil
Arete,Nacional,68.0,U.S.A.,3.5,Forastero (Nacional),Peru
Arete,"Puerto Quito,heirloom",70.0,U.S.A.,3.75,Forastero (Nacional),Ecuador
Arete,Oko Caribe,70.0,U.S.A.,3.5,Blend,Dominican Republic
Arete,Maya Mountain,70.0,U.S.A.,3.75,Trinitario,Belize
Arete,Chuno,70.0,U.S.A.,4.0,"Criollo, Trinitario",Nicaragua
Arete,Fazenda Camboa,75.0,U.S.A.,2.75,Blend,Brazil
Arete,Guatemala,70.0,U.S.A.,3.25,Blend,Guatemala
Arete,Camino Verde,75.0,U.S.A.,3.5,Blend,Ecuador
Artisan du Chocolat,"Trinidad,Heritage,Limited ed",72.0,England,3.25,Trinitario,Trinidad
Artisan du Chocolat,"Colombia,Casa Luker",72.0,England,3.75,Blend,Colombia
Artisan du Chocolat,Haiti,72.0,England,4.0,Blend,Haiti
Artisan du Chocolat,Panama,72.0,England,2.75,Blend,Panama
Artisan du Chocolat,Venezuela,100.0,England,1.75,Blend,Venezuela
Artisan du Chocolat,Jamaica,72.0,England,3.75,Trinitario,Jamaica
Artisan du Chocolat,Costa Rica,72.0,England,3.25,Blend,Costa Rica
Artisan du Chocolat,Ba Ria Vung Tau Province,72.0,England,3.25,Trinitario,Vietnam
Artisan du Chocolat,Bali,72.0,England,3.5,Blend,Indonesia
Artisan du Chocolat,"Ocumare,Venezuela",75.0,England,2.5,"Criollo, Trinitario",Venezuela
Artisan du Chocolat,Java,72.0,England,2.75,Trinitario,Indonesia
Artisan du Chocolat,Brazil Rio Doce,72.0,England,1.75,Blend,Brazil
Artisan du Chocolat,Madagascar,80.0,England,3.0,"Criollo, Trinitario",Madagascar
Artisan du Chocolat,Peru,75.0,England,3.0,Criollo,Peru
Artisan du Chocolat,Dominican Republic,72.0,England,3.25,Trinitario,Dominican Republic
Artisan du Chocolat,Congo,72.0,England,3.75,Forastero,Congo
Artisan du Chocolat (Casa Luker),"Orinoqua Region,Arauca",72.0,England,2.75,Trinitario,Colombia
Askinosie,Mababa,68.0,U.S.A.,3.75,Trinitario,Tanzania
Askinosie,"Tenende,Uwate",72.0,U.S.A.,3.75,Trinitario,Tanzania
Askinosie,Cortes,70.0,U.S.A.,3.75,Trinitario,Honduras
Askinosie,Davao,77.0,U.S.A.,3.75,Trinitario,Philippines
Askinosie,Xoconusco,75.0,U.S.A.,2.5,Trinitario,Mexico
Askinosie,San Jose del Tambo,70.0,U.S.A.,3.0,Forastero (Arriba),Ecuador
Bahen & Co.,Houseblend,80.0,Australia,3.25,Blend, 
Bahen & Co.,Papua New Guinea,70.0,Australia,3.5,Blend,Papua New Guinea
Bahen & Co.,Sambirano,70.0,Australia,3.0,Trinitario,Madagascar
Bahen & Co.,Bahia,70.0,Australia,2.5,Blend,Brazil
Bahen & Co.,Houseblend,70.0,Australia,2.5,Blend, 
Bakau,"Bambamarca,2015",70.0,Peru,2.75,Blend,Peru
Bakau,"Huallabamba,2015",70.0,Peru,3.5,Blend,Peru
Bar Au Chocolat,Bahia,70.0,U.S.A.,3.5,Blend,Brazil
Bar Au Chocolat,Maranon Canyon,70.0,U.S.A.,4.0,Forastero (Nacional),Peru
Bar Au Chocolat,Duarte Province,70.0,U.S.A.,3.25,Blend,Dominican Republic
Bar Au Chocolat,Chiapas,70.0,U.S.A.,3.5,Blend,Mexico
Bar Au Chocolat,Sambirano,70.0,U.S.A.,3.75,Trinitario,Madagascar
Baravelli's,single estate,80.0,Wales,2.75,Blend,Costa Rica
Batch,"Dominican Republic,Batch 3",65.0,U.S.A.,3.5,Blend,Dominican Republic
Batch,Brazil,70.0,U.S.A.,3.75,Blend,Brazil
Batch,Ecuador,65.0,U.S.A.,3.25,Blend,Ecuador
Beau Cacao,"Asajaya E,NW Borneo,b #132,4500",73.0,England,3.0,Blend,Malaysia
Beau Cacao,"Serian E,NW Borneo,b #134,3800",72.0,England,3.25,Blend,Malaysia
Beehive,"Brazil,Batch 20316",80.0,U.S.A.,2.75,Blend,Brazil
Beehive,"Dominican Republic,Batch 31616",70.0,U.S.A.,2.75,Blend,Dominican Republic
Beehive,"Ecuador,Batch 31516",70.0,U.S.A.,2.75,Blend,Ecuador
Beehive,Ecuador,90.0,U.S.A.,2.75,Blend,Ecuador
Belcolade,Costa Rica,64.0,Belgium,2.75,Blend,Costa Rica
Belcolade,Papua New Guinea,64.0,Belgium,2.75,Blend,Papua New Guinea
Belcolade,Peru,64.0,Belgium,2.75,Blend,Peru
Belcolade,Ecuador,71.0,Belgium,3.5,Blend,Ecuador
Bellflower,"Kakao Kamili,Kilombero Valley",70.0,U.S.A.,3.5,"Criollo, Trinitario",Tanzania
Bellflower,"Alto Beni,Palos Blanco",70.0,U.S.A.,3.25,Blend,Bolivia
Bellflower,"Oko Caribe,Duarte P",70.0,U.S.A.,3.5,Blend,Dominican Republic
Belyzium,"Belize south,low fermentation",83.0,Germany,2.75,Trinitario,Belize
Belyzium,Belize south,78.0,Germany,3.0,Trinitario,Belize
Belyzium,Belize south,83.0,Germany,3.5,Trinitario,Belize
Benoit Nihant,Baracoa,74.0,Belgium,3.5,Trinitario,Cuba
Benoit Nihant,Chuao,74.0,Belgium,3.5,Criollo,Venezuela
Benoit Nihant,Cuyagua Village,74.0,Belgium,3.5,Criollo,Venezuela
Benoit Nihant,Rio Peripa H,73.0,Belgium,4.0,Trinitario,Ecuador
Benoit Nihant,"Bali,Sukrama Bros Farm,Melaya,62hr C",72.0,Belgium,4.0,Trinitario,Indonesia
Benoit Nihant,"Somia Plantation,Sambirano,70hr C",72.0,Belgium,3.75,Trinitario,Madagascar
Bernachon,Nature,55.0,France,2.75,Blend, 
Beschle (Felchlin),Madagascar,64.0,Switzerland,3.0,Trinitario,Madagascar
Beschle (Felchlin),Maracaibo,88.0,Switzerland,3.0,Criollo,Venezuela
Beschle (Felchlin),"Indigena Amazonia,Grand Cru,Quizas",72.0,Switzerland,3.5,Blend,Venezuela
Beschle (Felchlin),Ecuador,72.0,Switzerland,4.0,Blend,Ecuador
Beschle (Felchlin),"Carenero S,Barlovento,Grand Cru",70.0,Switzerland,3.25,Trinitario,Venezuela
Beschle (Felchlin),"Porcelana,Premier Cru,Quizas No 1",74.0,Switzerland,3.25,Criollo (Porcelana),Venezuela
Beschle (Felchlin),"Java,Grand Cru",64.0,Switzerland,3.5,Blend,Indonesia
Beschle (Felchlin),"Ocumare,Premier Cru,Quizas No 2",72.0,Switzerland,3.5,Blend,Venezuela
Bisou,"Nicaragua,American style",76.0,U.S.A.,2.5,Blend,Nicaragua
Bisou,"San Andres,American style",76.0,U.S.A.,2.5,Blend,Costa Rica
Bisou,"San Andres,silk",78.0,U.S.A.,2.5,Blend,Costa Rica
Bisou,Belize,86.0,U.S.A.,3.25,Trinitario,Belize
Bittersweet Origins,Ghana,72.0,U.S.A.,3.5,Forastero,Ghana
Bittersweet Origins,"Bali,Singaraja",75.0,U.S.A.,3.25,Blend,Indonesia
Bittersweet Origins,2009 Hapa Nibby,70.0,U.S.A.,3.75,Blend,"Dominican Republic,Bali"
Bittersweet Origins,"Bali,Singaraja",65.0,U.S.A.,2.75,Blend,Indonesia
Bittersweet Origins,"Sambirano,2009",70.0,U.S.A.,3.0,Trinitario,Madagascar
Bittersweet Origins,"Ocumare,prototype",78.0,U.S.A.,3.0,Criollo,Venezuela
Bittersweet Origins,Puerto Plata,75.0,U.S.A.,3.0,Blend,Dominican Republic
Bittersweet Origins,Puerto Plata,65.0,U.S.A.,3.5,Blend,Dominican Republic
Bittersweet Origins,Sambirano,75.0,U.S.A.,3.25,Trinitario,Madagascar
Bittersweet Origins,Sambirano,65.0,U.S.A.,3.5,Trinitario,Madagascar
Bittersweet Origins,Sambirano,71.0,U.S.A.,3.0,Trinitario,Madagascar
Bittersweet Origins,Bocas del Toro,75.0,U.S.A.,3.5,Blend,Panama
Bittersweet Origins,Puerto Plata,68.0,U.S.A.,3.75,Blend,Dominican Republic
Bittersweet Origins,Ankasa,70.0,U.S.A.,3.0,Forastero,Ghana
Black Mountain,La Red,70.0,U.S.A.,2.75,Blend,Dominican Republic
Black Mountain,Carenero Superior,70.0,U.S.A.,2.75,Trinitario,Venezuela
Black Mountain,Matiguas,70.0,U.S.A.,3.0,Blend,Nicaragua
Black River (A. Morin),Blue Mountain Region,70.0,England,2.75,Trinitario,Jamaica
Blanxart,"Congo,Grand Cru",82.0,Spain,3.5,Forastero,Congo
Blanxart,Organic Dark,72.0,Spain,2.75,Blend, 
Blue Bandana,"Akesson's E,Sambirano V",82.0,U.S.A.,3.5,Trinitario,Madagascar
Blue Bandana,Lachua,75.0,U.S.A.,2.75,Blend,Guatemala
Blue Bandana,Kokoa Kamili,75.0,U.S.A.,3.5,Blend,Tanzania
Blue Bandana,Zorzal Reserva,75.0,U.S.A.,3.0,Blend,Dominican Republic
Blue Bandana,Guatemala,70.0,U.S.A.,3.5,Blend,Guatemala
Blue Bandana,Madagascar,70.0,U.S.A.,3.75,Trinitario,Madagascar
Bonnat,Selva Maya,75.0,France,3.5,Blend,Mexico
Bonnat,Kaori,75.0,France,4.0,Blend,Brazil
Bonnat,"Los Colorados,Santo Domingo,Equateur",75.0,France,3.25,Blend,Dominican Republic
Bonnat,Surfin,65.0,France,3.75,Blend,"Venezuela,Africa,Brasil,Peru,Mexico"
Bonnat,Maragnam,75.0,France,3.5,Blend,Brazil
Bonnat,Gabon,75.0,France,3.25,Blend,Gabon
Bonnat,Cuba,75.0,France,3.5,Trinitario,Cuba
Bonnat,"Cusco,Cacao Cusco",75.0,France,3.5,Blend,Peru
Bonnat,Piura Blanco,75.0,France,3.5,Forastero (Nacional),Peru
Bonnat,Libanio,75.0,France,3.75,Blend,Brazil
Bonnat,Haiti,75.0,France,4.0,Blend,Haiti
Bonnat,"Madagascar,100% criollo",75.0,France,4.0,Criollo,Madagascar
Bonnat,Juliana,75.0,France,3.5,Blend,Brazil
Bonnat,Jamaique,75.0,France,3.25,Trinitario,Jamaica
Bonnat,Ivory Coast,75.0,France,3.0,Blend,Ivory Coast
Bonnat,"Porcelana,Apotequil",75.0,France,2.75,Criollo,Peru
Bonnat,"Porcelana,Tabasco,Marfil de Blanco",75.0,France,3.0,Criollo,Mexico
Bonnat,"Xoconusco,cacao Real",75.0,France,3.0,Criollo,Mexico
Bonnat,"Porcelana,Venezuela",75.0,France,4.0,Criollo (Porcelana),Venezuela
Bonnat,Equateur,75.0,France,2.5,Forastero (Arriba),Ecuador
Bonnat,Trinite,75.0,France,3.75,Trinitario,Carribean
Bonnat,"Ocumare,Puerto Cabello",75.0,France,4.0,Blend,Venezuela
Bonnat,"Maracaibo,El Rosario",75.0,France,4.0,Criollo,Venezuela
Bonnat,Madagascar,75.0,France,4.0,Trinitario,Madagascar
Bonnat,One Hundred,100.0,France,1.5,Blend, 
Bonnat,Ceylan,75.0,France,3.0,Blend,Sri Lanka
Bonnat,Chuao,75.0,France,4.0,Trinitario,Venezuela
Bouga Cacao (Tulicorp),"El Oro,Hacienda de Oro",77.0,Ecuador,3.25,Forastero (Arriba),Ecuador
Bouga Cacao (Tulicorp),"El Oro,Hacienda de Oro",100.0,Ecuador,1.5,Forastero (Arriba),Ecuador
Bowler Man,Maya Mountain,70.0,U.S.A.,2.75,Trinitario,Belize
Bowler Man,Conacado,70.0,U.S.A.,2.75,Blend,Dominican Republic
Brasstown aka It's Chocolate,"Guasare,Zulia Prov",70.0,U.S.A.,3.5,Criollo,Venezuela
Brasstown aka It's Chocolate,"O'payo,Waslala",70.0,U.S.A.,3.75,Blend,Nicaragua
Brasstown aka It's Chocolate,Conacado,68.0,U.S.A.,3.75,Blend,Dominican Republic
Brasstown aka It's Chocolate,Maya Mountain,70.0,U.S.A.,3.75,Trinitario,Belize
Brasstown aka It's Chocolate,Chuao,70.0,U.S.A.,4.0,Trinitario,Venezuela
Brasstown aka It's Chocolate,Cooproagro,72.0,U.S.A.,3.0,Trinitario,Dominican Republic
Brasstown aka It's Chocolate,"Camino Verde,Guayas",70.0,U.S.A.,3.25,Blend,Ecuador
Brasstown aka It's Chocolate,Ghana,75.0,U.S.A.,3.5,Forastero,Ghana
Brasstown aka It's Chocolate,"Chuao,Mantuano blend",85.0,U.S.A.,3.5,Trinitario,Venezuela
Brazen,Elvesia P,60.0,U.S.A.,3.0,Blend,Dominican Republic
Brazen,Elvesia P,80.0,U.S.A.,3.25,Blend,Dominican Republic
Brazen,"Alta Verapaz,2014",70.0,U.S.A.,3.5,Blend,Guatemala
Brazen,Ambolikapiky P,80.0,U.S.A.,2.75,Blend,Madagascar
Brazen,Maya Mountain,80.0,U.S.A.,3.25,Trinitario,Belize
Brazen,Ambolikapkly P,60.0,U.S.A.,3.25,Blend,Madagascar
Breeze Mill,Jamaica,70.0,U.S.A.,3.0,Trinitario,Jamaica
Bright,Somia Plantation,72.0,Australia,3.0,Trinitario,Madagascar
Bright,Marabel Farms,70.0,Australia,3.5,Blend,Dominican Republic
Bright,"Camino Verde,Balao,Guayas",72.0,Australia,3.5,Blend,Ecuador
Bright,Gran Couva,68.0,Australia,2.75,Trinitario,Trinidad
Britarev,Ecuador,70.0,Russia,3.25,Blend,Ecuador
Bronx Grrl Chocolate,Dominican Republic,68.0,U.S.A.,2.75,Blend,Dominican Republic
Burnt Fork Bend,Trinidad,72.0,U.S.A.,3.25,Trinitario,Trinidad
Burnt Fork Bend,Mindo,72.0,U.S.A.,3.5,Blend,Ecuador
Burnt Fork Bend,Belize,72.0,U.S.A.,3.25,Trinitario,Belize
Burnt Fork Bend,Blend,72.0,U.S.A.,3.25,Blend, 
Burnt Fork Bend,"Ecuador,Bob Bar",60.0,U.S.A.,2.5,Blend,Ecuador
Cacao Arabuco,Puerto Rico,70.0,Puerto Rico,2.5,Blend,Puerto Rico
Cacao Atlanta,Tumbes,75.0,U.S.A.,2.5,Criollo,Peru
Cacao Atlanta,"Dominican Republic,""Love Bar""",75.0,U.S.A.,2.5,Blend,Dominican Republic
Cacao Atlanta,"Dominican Republic w,nibs",75.0,U.S.A.,2.75,Blend,Dominican Republic
Cacao Atlanta,Patanemo,75.0,U.S.A.,2.25,Blend,Venezuela
Cacao Barry,Grand 'Anse,65.0,France,3.5,"Criollo, Trinitario",Haiti
Cacao Barry,Santo Domingo,70.0,France,3.0,Blend,Dominican Republic
Cacao Barry,Tanzania,75.0,France,2.0,Blend,Tanzania
Cacao Barry,Venezuela,72.0,France,2.0,Blend,Venezuela
Cacao Barry,Mexico,66.0,France,3.0,Blend,Mexico
Cacao de Origen,Chuao,77.0,Venezuela,3.5,Trinitario,Venezuela
Cacao de Origen,Rio Caribe,75.0,Venezuela,3.25,Trinitario,Venezuela
Cacao de Origen,Agua Fria; Sucre region,75.0,Venezuela,2.5,Blend,Venezuela
Cacao de Origen,Macuare; Miranda; Chloe formula,74.0,Venezuela,3.25,Blend,Venezuela
Cacao de Origen,"Chuao,Aragua region",75.0,Venezuela,3.5,Trinitario,Venezuela
Cacao de Origen,"Chuao,Aragua region",70.0,Venezuela,3.75,Trinitario,Venezuela
Cacao de Origin,Hacienda la Trinidad,74.0,Venezuela,3.25,Blend,Venezuela
Cacao Hunters,Macondo,71.0,Colombia,3.75,Blend,Colombia
Cacao Hunters,Perla Negra,74.0,Colombia,3.75,Blend,Colombia
Cacao Hunters,Arhuacos,72.0,Colombia,3.75,Blend,Colombia
Cacao Hunters,Sierra Nevada,64.0,Colombia,3.5,Blend,Colombia
Cacao Hunters,Tumaco,70.0,Colombia,3.5,Blend,Colombia
Cacao Hunters,"Boyaca,Aprocampa Coop,Pauna",69.0,Colombia,2.75,Blend,Colombia
Cacao Hunters,Arauca,70.0,Colombia,3.25,Blend,Colombia
Cacao Market,"Jutiapa,lot 050916D",70.0,U.S.A.,3.5,Trinitario,Honduras
Cacao Prieto,"Criollo,Dominican Republic",72.0,U.S.A.,3.75,Criollo,Dominican Republic
Cacao Prieto,"Dominican Republicm,rustic",72.0,U.S.A.,3.0,Blend,Dominican Republic
Cacao Prieto,Dominican Republic,66.0,U.S.A.,3.75,Blend,Dominican Republic
Cacao Prieto,"Dominican Republic,rustic",65.0,U.S.A.,3.25,Blend,Dominican Republic
Cacao Sampaka,"Mahali,Kasai",70.0,Spain,3.5,Criollo,Congo
Cacao Sampaka,Madagascar,71.0,Spain,3.5,Trinitario,Madagascar
Cacao Sampaka,Ecuador,71.0,Spain,3.75,Blend,Ecuador
Cacao Sampaka,Papua,71.0,Spain,4.0,Blend,Papua New Guinea
Cacao Sampaka,Grenada,71.0,Spain,3.25,Trinitario,Grenada
Cacao Sampaka,Venezuela,71.0,Spain,3.5,Blend,Venezuela
Cacao Sampaka,Venezuela,77.0,Spain,3.5,Blend,Venezuela
Cacao Sampaka,"Porcelana,Tabasco,La Joya",70.0,Spain,4.0,Criollo,Mexico
Cacao Sampaka,"Xoconusco,Chiapas",70.0,Spain,4.0,Criollo,Mexico
Cacao Store,Madagascar,70.0,Japan,3.0,Trinitario,Madagascar
Cacao Store,Peru,70.0,Japan,3.25,Blend,Peru
Cacao Store,Vietnam,70.0,Japan,3.5,Trinitario,Vietnam
Cacaosuyo (Theobroma Inversiones),Piura,70.0,Peru,3.25,Blend,Peru
Cacaoyere (Ecuatoriana),Amazonia,63.0,Ecuador,3.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Esmeraldas,71.0,Ecuador,3.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Bolivar,82.0,Ecuador,2.5,Forastero (Arriba),Ecuador
Cacaoyere (Ecuatoriana),Pichincha,91.0,Ecuador,1.5,Forastero (Arriba),Ecuador
Callebaut,Grenade,60.0,Belgium,2.75,Trinitario,Grenada
Callebaut,Baking,70.0,Belgium,1.0,Blend,Ecuador
C-Amaro,Cuba,75.0,Italy,2.5,Blend,Cuba
C-Amaro,Dominican Republic,72.0,Italy,3.0,Blend,Dominican Republic
C-Amaro,"Lago di Como,Blu",70.0,Italy,3.5,Blend, 
C-Amaro,Ecuador,100.0,Italy,3.5,Blend,Ecuador
C-Amaro,Venezuela,80.0,Italy,3.0,Blend,Venezuela
C-Amaro,Sao Tome,78.0,Italy,2.25,Forastero,Sao Tome
C-Amaro,Trinidad,70.0,Italy,2.5,Trinitario,Trinidad
Cao,Porcelana,75.0,U.S.A.,2.5,Criollo,Venezuela
Cao,Tanzania,73.0,U.S.A.,2.75,Blend,Tanzania
Cao,"Porcelana,Batch 5163",70.0,U.S.A.,3.0,Criollo,Venezuela
Cao,Bolivia,75.0,U.S.A.,3.0,Blend,Bolivia
Cao,Brazil,70.0,U.S.A.,3.25,Trinitario,Brazil
Caoni (Tulicorp),Esmeraldas,77.0,Ecuador,2.0,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Manabi,77.0,Ecuador,2.5,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Los Rios,77.0,Ecuador,2.75,Forastero (Arriba),Ecuador
Caoni (Tulicorp),Manabi,55.0,Ecuador,3.0,Forastero (Arriba),Ecuador
